iter	Passed	Remaining
0	1	99
1	1	93
2	2	90
3	3	84
4	4	84
5	5	83
6	6	82
7	7	82
8	8	82
9	8	80
10	9	79
11	10	79
12	11	78
13	12	77
14	13	77
15	14	76
16	15	75
17	16	75
18	17	75
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	69
25	24	68
26	25	67
27	25	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	60
35	33	59
36	34	58
37	35	57
38	35	56
39	36	55
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	48	39
55	49	38
56	50	38
57	51	37
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	76	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
